Speaker,Pseudonym,Year,Neighborhood,Gender,YOB,Occupation,Age,SEC,Code,Word,PreSeg,FolSeg,Register,File,Asp,MidPoint,SegStart,SegEnd,SegDur,AspEnd,AspDur,AspStartr,AspEndr,IntermediateV,AgeGroup,n,,AspProp,Chunk,ChunkStart,ChunkEnd,WordsChunk,WordsPerSecond,SyllablesChunk,SyllablesPerSecond,presegv,presegm,asp,aspProp,word_init,post_pausal,mean_aspprop,file,word,preseg,folseg,preword,aspstart,aspend,duration,intensity,cog,sdev,skew,kurt,window_size,window_number,token,mean_cog,YOB_z,SPS_z
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,K,EH,conversation,EDI_2-1-1,NA,521.4334719,521.398,521.469,0.0714423,NA,NA,NA,NA,NA,3,74,,NA,41,506.405,545.24,148,3.810995236,153,3.939745075,voiceless,plosive,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.929060343
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,ER,EH,conversation,EDI_2-1-1,NA,522.0228712,522.001,522.045,0.0437598,NA,NA,NA,NA,NA,3,74,,NA,41,506.405,545.24,148,3.810995236,153,3.939745075,voiced,vowel,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.929060343
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,P,EH1,conversation,EDI_2-1-1,NA,534.96705,534.947,534.987,0.0399,NA,NA,NA,NA,NA,3,74,,NA,41,506.405,545.24,148,3.810995236,153,3.939745075,voiceless,plosive,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.929060343
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,T,EH,conversation,EDI_2-1-1,NA,538.5199635,538.476,538.564,0.0884093,NA,NA,NA,NA,NA,3,74,,NA,41,506.405,545.24,148,3.810995236,153,3.939745075,voiceless,plosive,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.929060343
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,what,K,AH1,conversation,EDI_2-1-1,NA,543.62005,543.56,543.68,0.1199,NA,NA,NA,NA,NA,3,74,,NA,41,506.405,545.24,148,3.810995236,153,3.939745075,voiceless,plosive,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.929060343
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,W,EH,conversation,EDI_2-1-1,NA,555.6324379,555.604,555.661,0.0567006,NA,NA,NA,NA,NA,3,74,,NA,43,551.591,584.737,137,4.133228746,148,4.465093827,voiceless,approximant,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,2.838480992
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,N,EH,conversation,EDI_2-1-1,NA,574.6123466,574.579,574.645,0.0663002,NA,NA,NA,NA,NA,3,74,,NA,43,551.591,584.737,137,4.133228746,148,4.465093827,voiced,nasal,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,2.838480992
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,while,L,AY,conversation,EDI_2-1-1,NA,596.9400013,596.898,596.982,0.0848433,NA,NA,NA,NA,NA,3,74,,NA,45,589.978,604.975,46,3.067280123,41,2.733880109,voiced,approximant,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,-0.158388224
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,T,EH,conversation,EDI_2-1-1,NA,677.2398471,677.22,677.26,0.0394517,NA,NA,NA,NA,NA,3,74,,NA,55,669.678,688.806,57,2.979924718,44,2.300292765,voiceless,plosive,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,-0.908962547
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,K,IH1,conversation,EDI_2-1-1,NA,718.66705,718.642,718.692,0.0499,NA,NA,NA,NA,NA,3,74,,NA,59,716.602,726.531,41,4.129318159,43,4.330748313,voiceless,plosive,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,2.605918177
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,spn,IH1,conversation,EDI_2-1-1,NA,805.8996194,805.884,805.915,0.0310388,NA,NA,NA,NA,NA,3,74,,NA,73,799.641,828.483,115,3.987240829,105,3.640524235,pause,pause,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.411085171
